[0925/143444:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0925/235409:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1207/155842:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1207/161438:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1208/141629:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1208/170246:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/141334:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0106/141422:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0109/103700:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0109/143709:ERROR:file_io.cc(30)] read: expected 4, observed 0
